[139/200] D=0.3015 G=2.2605 (adv=1.0556, cycle=0.0864, id=0.0453, sky=0.1142)
[140/200] D=0.3049 G=2.2517 (adv=1.0469, cycle=0.0863, id=0.0456, sky=0.1141)
[141/200] D=0.3039 G=2.2498 (adv=1.0553, cycle=0.0854, id=0.0452, sky=0.1141)
[142/200] D=0.2974 G=2.2520 (adv=1.0543, cycle=0.0858, id=0.0452, sky=0.1142)
[143/200] D=0.2977 G=2.2386 (adv=1.0529, cycle=0.0849, id=0.0445, sky=0.1141)
[144/200] D=0.2985 G=2.2471 (adv=1.0626, cycle=0.0846, id=0.0448, sky=0.1144)
[145/200] D=0.2983 G=2.2459 (adv=1.0606, cycle=0.0848, id=0.0447, sky=0.1137)
[146/200] D=0.2983 G=2.2285 (adv=1.0523, cycle=0.0842, id=0.0440, sky=0.1139)
[147/200] D=0.2976 G=2.2379 (adv=1.0595, cycle=0.0842, id=0.0444, sky=0.1141)
[148/200] D=0.2968 G=2.2532 (adv=1.0665, cycle=0.0850, id=0.0445, sky=0.1143)
[149/200] D=0.2965 G=2.2252 (adv=1.0594, cycle=0.0835, id=0.0435, sky=0.1137)
[150/200] D=0.2954 G=2.2231 (adv=1.0631, cycle=0.0829, id=0.0435, sky=0.1140)
[151/200] D=0.2943 G=2.2198 (adv=1.0622, cycle=0.0826, id=0.0434, sky=0.1141)
[152/200] D=0.2967 G=2.2267 (adv=1.0675, cycle=0.0829, id=0.0432, sky=0.1143)
[153/200] D=0.2947 G=2.2176 (adv=1.0709, cycle=0.0819, id=0.0428, sky=0.1139)
[154/200] D=0.2947 G=2.2196 (adv=1.0627, cycle=0.0826, id=0.0434, sky=0.1140)
[155/200] D=0.2969 G=2.2093 (adv=1.0673, cycle=0.0815, id=0.0426, sky=0.1139)
[156/200] D=0.2938 G=2.2213 (adv=1.0688, cycle=0.0824, id=0.0428, sky=0.1140)
[157/200] D=0.2935 G=2.2064 (adv=1.0674, cycle=0.0813, id=0.0423, sky=0.1139)
[158/200] D=0.2962 G=2.2687 (adv=1.0948, cycle=0.0841, id=0.0437, sky=0.1144)
[159/200] D=0.2919 G=2.1926 (adv=1.0674, cycle=0.0802, id=0.0419, sky=0.1138)
[160/200] D=0.2926 G=2.1855 (adv=1.0590, cycle=0.0804, id=0.0417, sky=0.1139)
[161/200] D=0.2935 G=2.2227 (adv=1.0797, cycle=0.0816, id=0.0425, sky=0.1143)
[162/200] D=0.2911 G=2.1867 (adv=1.0651, cycle=0.0800, id=0.0416, sky=0.1138)
[163/200] D=0.2915 G=2.1893 (adv=1.0712, cycle=0.0798, id=0.0412, sky=0.1140)
[164/200] D=0.2905 G=2.1912 (adv=1.0689, cycle=0.0802, id=0.0414, sky=0.1137)
[165/200] D=0.2915 G=2.1822 (adv=1.0680, cycle=0.0795, id=0.0411, sky=0.1141)
[166/200] D=0.2898 G=2.1892 (adv=1.0754, cycle=0.0794, id=0.0411, sky=0.1141)
[167/200] D=0.2939 G=2.2033 (adv=1.0840, cycle=0.0798, id=0.0415, sky=0.1141)
[168/200] D=0.2892 G=2.1761 (adv=1.0709, cycle=0.0788, id=0.0407, sky=0.1139)
[169/200] D=0.2907 G=2.1792 (adv=1.0668, cycle=0.0793, id=0.0411, sky=0.1141)
