[170/200] D=0.3432 G=1.9677 (adv=0.8951, cycle=0.0804, id=0.0423, sky=0.0566)
[171/200] D=0.3454 G=1.9615 (adv=0.8874, cycle=0.0802, id=0.0429, sky=0.0577)
[172/200] D=0.3422 G=1.9583 (adv=0.8902, cycle=0.0799, id=0.0426, sky=0.0563)
[173/200] D=0.3421 G=1.9612 (adv=0.8908, cycle=0.0802, id=0.0422, sky=0.0570)
[174/200] D=0.3413 G=1.9436 (adv=0.8878, cycle=0.0792, id=0.0415, sky=0.0563)
[175/200] D=0.3423 G=1.9650 (adv=0.8963, cycle=0.0799, id=0.0424, sky=0.0574)
[176/200] D=0.3381 G=1.9578 (adv=0.8973, cycle=0.0792, id=0.0421, sky=0.0574)
[177/200] D=0.3396 G=1.9489 (adv=0.8968, cycle=0.0787, id=0.0413, sky=0.0581)
[178/200] D=0.3376 G=1.9481 (adv=0.9010, cycle=0.0784, id=0.0409, sky=0.0586)
[179/200] D=0.3351 G=1.9526 (adv=0.9063, cycle=0.0783, id=0.0415, sky=0.0565)
[180/200] D=0.3382 G=1.9441 (adv=0.9027, cycle=0.0780, id=0.0408, sky=0.0571)
[181/200] D=0.3343 G=1.9507 (adv=0.9035, cycle=0.0783, id=0.0412, sky=0.0577)
[182/200] D=0.3345 G=1.9339 (adv=0.9037, cycle=0.0770, id=0.0404, sky=0.0582)
[183/200] D=0.3375 G=1.9401 (adv=0.9014, cycle=0.0775, id=0.0411, sky=0.0581)
[184/200] D=0.3353 G=1.9343 (adv=0.9048, cycle=0.0771, id=0.0406, sky=0.0556)
[185/200] D=0.3342 G=1.9307 (adv=0.9067, cycle=0.0767, id=0.0403, sky=0.0559)
[186/200] D=0.3357 G=1.9230 (adv=0.8996, cycle=0.0766, id=0.0401, sky=0.0573)
[187/200] D=0.3341 G=1.9323 (adv=0.9107, cycle=0.0761, id=0.0403, sky=0.0584)
[188/200] D=0.3348 G=1.9189 (adv=0.9009, cycle=0.0760, id=0.0401, sky=0.0579)
[189/200] D=0.3343 G=1.9191 (adv=0.9024, cycle=0.0757, id=0.0405, sky=0.0572)
[190/200] D=0.3326 G=1.9112 (adv=0.9054, cycle=0.0750, id=0.0395, sky=0.0579)
[191/200] D=0.3318 G=1.8986 (adv=0.9079, cycle=0.0740, id=0.0385, sky=0.0580)
[192/200] D=0.3301 G=1.9195 (adv=0.9133, cycle=0.0750, id=0.0398, sky=0.0571)
[193/200] D=0.3309 G=1.9050 (adv=0.9109, cycle=0.0741, id=0.0392, sky=0.0564)
[194/200] D=0.3301 G=1.9072 (adv=0.9081, cycle=0.0746, id=0.0395, sky=0.0560)
[195/200] D=0.3297 G=1.8955 (adv=0.9099, cycle=0.0736, id=0.0384, sky=0.0578)
[196/200] D=0.3312 G=1.8939 (adv=0.9025, cycle=0.0739, id=0.0391, sky=0.0574)
[197/200] D=0.3266 G=1.9093 (adv=0.9149, cycle=0.0741, id=0.0393, sky=0.0566)
[198/200] D=0.3281 G=1.9023 (adv=0.9125, cycle=0.0738, id=0.0390, sky=0.0572)
[199/200] D=0.3297 G=1.8957 (adv=0.9061, cycle=0.0738, id=0.0390, sky=0.0568)
[200/200] D=0.3270 G=1.8875 (adv=0.9082, cycle=0.0729, id=0.0385, sky=0.0571)
