[175/200] D=0.3221 G=2.5016 (adv=0.9434, cycle=0.0852, id=0.0619, sky=0.4893)
[176/200] D=0.3180 G=2.4877 (adv=0.9576, cycle=0.0829, id=0.0607, sky=0.4882)
[177/200] D=0.3200 G=2.5139 (adv=0.9452, cycle=0.0840, id=0.0606, sky=0.5169)
[178/200] D=0.3180 G=2.5015 (adv=0.9500, cycle=0.0833, id=0.0607, sky=0.5059)
[179/200] D=0.3188 G=2.4874 (adv=0.9473, cycle=0.0826, id=0.0592, sky=0.5067)
[180/200] D=0.3214 G=2.5020 (adv=0.9462, cycle=0.0834, id=0.0611, sky=0.5083)
[181/200] D=0.3191 G=2.4760 (adv=0.9555, cycle=0.0829, id=0.0606, sky=0.4789)
[182/200] D=0.3189 G=2.4489 (adv=0.9392, cycle=0.0807, id=0.0579, sky=0.4997)
[183/200] D=0.3198 G=2.4730 (adv=0.9422, cycle=0.0823, id=0.0599, sky=0.4982)
[184/200] D=0.3157 G=2.4670 (adv=0.9553, cycle=0.0820, id=0.0599, sky=0.4825)
[185/200] D=0.3160 G=2.4826 (adv=0.9549, cycle=0.0817, id=0.0597, sky=0.5014)
[186/200] D=0.3127 G=2.4617 (adv=0.9621, cycle=0.0814, id=0.0592, sky=0.4778)
[187/200] D=0.3169 G=2.4472 (adv=0.9486, cycle=0.0806, id=0.0593, sky=0.4847)
[188/200] D=0.3150 G=2.4442 (adv=0.9581, cycle=0.0808, id=0.0579, sky=0.4756)
[189/200] D=0.3137 G=2.4537 (adv=0.9585, cycle=0.0804, id=0.0589, sky=0.4847)
[190/200] D=0.3116 G=2.4897 (adv=0.9589, cycle=0.0815, id=0.0596, sky=0.5075)
[191/200] D=0.3126 G=2.4607 (adv=0.9518, cycle=0.0805, id=0.0584, sky=0.4998)
[192/200] D=0.3109 G=2.4584 (adv=0.9681, cycle=0.0794, id=0.0579, sky=0.4941)
[193/200] D=0.3139 G=2.4382 (adv=0.9500, cycle=0.0794, id=0.0580, sky=0.4915)
[194/200] D=0.3116 G=2.4293 (adv=0.9556, cycle=0.0791, id=0.0580, sky=0.4794)
[195/200] D=0.3070 G=2.4373 (adv=0.9685, cycle=0.0780, id=0.0569, sky=0.4896)
[196/200] D=0.3108 G=2.4273 (adv=0.9474, cycle=0.0784, id=0.0572, sky=0.4952)
[197/200] D=0.3080 G=2.4483 (adv=0.9623, cycle=0.0787, id=0.0569, sky=0.5001)
[198/200] D=0.3092 G=2.4238 (adv=0.9644, cycle=0.0782, id=0.0568, sky=0.4786)
[199/200] D=0.3058 G=2.4447 (adv=0.9672, cycle=0.0780, id=0.0567, sky=0.4994)
[200/200] D=0.3078 G=2.4385 (adv=0.9730, cycle=0.0775, id=0.0555, sky=0.4963)
